UTTARKASHI  EARTHQUAKE, OCT 20,1991 02:53 IST                      
      91.0011.T station: UTTARKASHI      30 44 N 78 27 E comp: N75E             
 INST.FREQ= 25.50Hz  DAMPING=0.65 Band-Pass FILTER 0.17-0.20 Hz & 25.0-27.0 Hz  
Initial Velocity =     -.6300E-02 m/s Initial Displacement =   -.1480      mm
Peak Acceleration =        3.0400    m/s/s at    5.900  sec
 1996 Acceleration data points (in m/s/s) at .020 sec
0.842E-01 0.844E-01 -.211E-02 -.968E-01 -.111E+00 -.667E-03 0.382E-01 -.930E-01
-.204E+00 -.207E+00 -.209E+00 -.129E+00 -.129E-01 0.338E-01 -.777E-01 -.155E+00
-.130E+00 -.163E+00 -.143E+00 -.342E-01 -.158E-02 -.404E-01 -.532E-01 -.103E-01
0.662E-01 0.611E-01 -.240E-01 -.558E-01 -.618E-01 -.708E-01 -.638E-02 0.137E+00
0.258E+00 0.309E+00 0.200E+00 0.961E-01 0.570E-01 0.325E-01 0.682E-01 0.128E+00
0.518E-01 -.757E-01 -.179E+00 -.244E+00 -.164E+00 -.456E-02 0.702E-01 -.248E-01
-.162E+00 -.226E+00 -.127E+00 0.819E-02 0.646E-01 0.108E-01 0.472E-01 0.164E+00
0.247E+00 0.190E+00 0.261E-01 -.600E-01 -.346E-01 0.257E-02 0.187E-01 0.493E-02
0.801E-02 -.333E-02 -.661E-01 -.621E-01 -.322E-01 0.129E-01 0.638E-01 0.170E-01
-.666E-01 -.134E+00 -.125E+00 -.273E-01 0.752E-01 0.891E-01 0.490E-01 0.527E-01
0.688E-01 0.670E-01 0.827E-01 0.116E+00 0.163E+00 0.154E+00 0.354E-01 -.916E-01
-.134E+00 -.166E-01 0.978E-01 0.804E-01 -.957E-01 -.168E+00 -.172E+00 -.118E+00
-.146E-01 0.845E-01 0.123E+00 0.116E+00 0.102E+00 0.156E+00 0.177E+00 0.550E-01
-.116E+00 -.191E+00 -.147E+00 -.895E-01 -.583E-01 -.901E-01 -.116E+00 -.106E+00
-.473E-01 -.360E-02 0.311E-01 0.545E-01 0.374E-01 -.674E-02 0.541E-02 0.167E-01
-.273E-02 0.267E-01 0.608E-01 0.464E-01 0.242E-01 0.118E-01 0.366E-03 0.115E-01
0.378E-01 0.738E-01 0.777E-01 0.172E-01 -.600E-01 -.108E+00 -.890E-01 -.578E-01
-.697E-01 -.510E-02 0.372E-01 0.680E-01 0.758E-01 0.134E-01 -.460E-01 -.761E-01
-.205E-01 0.291E-01 0.162E-01 -.131E-01 -.222E-02 0.862E-01 0.151E+00 0.763E-01
-.765E-02 -.386E-01 -.311E-01 -.898E-02 0.911E-02 0.274E-01 0.356E-01 0.154E-01
-.306E-01 -.146E-01 0.544E-01 0.285E-01 -.107E+00 -.228E+00 -.256E+00 -.124E+00
-.204E-02 0.707E-01 0.152E-01 -.351E-01 0.110E+00 0.229E+00 0.256E+00 0.145E+00
-.615E-01 -.192E+00 -.181E+00 -.997E-01 -.231E-01 0.164E-01 -.110E+00 -.681E-01
0.941E-01 0.155E+00 0.110E+00 0.600E-01 0.836E-01 0.111E+00 0.156E+00 0.118E+00
-.136E-01 -.143E+00 -.154E+00 -.137E+00 -.139E+00 -.156E+00 -.138E+00 -.909E-01
0.167E-02 0.745E-01 0.973E-01 0.155E-01 -.794E-01 -.640E-01 0.567E-01 0.191E+00
